05-08-2020-19:56:09,414 root INFO Episode: 0, Max reward:0, Avg Reward:0.0
05-08-2020-19:56:45,536 root INFO Episode: 5, Max reward:0, Avg Reward:0.0
05-08-2020-19:56:53,289 root INFO Episode: 10, Max reward:0, Avg Reward:0.0
05-08-2020-19:56:59,76 root INFO Episode: 15, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:03,822 root INFO Episode: 20, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:10,506 root INFO Episode: 25, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:16,13 root INFO Episode: 30, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:22,750 root INFO Episode: 35, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:28,483 root INFO Episode: 40, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:35,391 root INFO Episode: 45, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:40,652 root INFO Episode: 50, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:47,641 root INFO Episode: 55, Max reward:0, Avg Reward:0.0
05-08-2020-19:57:53,922 root INFO Episode: 60, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:00,429 root INFO Episode: 65, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:06,198 root INFO Episode: 70, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:12,66 root INFO Episode: 75, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:17,978 root INFO Episode: 80, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:24,396 root INFO Episode: 85, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:31,412 root INFO Episode: 90, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:36,628 root INFO Episode: 95, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:45,33 root INFO Episode: 100, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:49,841 root INFO Episode: 105, Max reward:0, Avg Reward:0.0
05-08-2020-19:58:56,302 root INFO Episode: 110, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:02,789 root INFO Episode: 115, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:06,818 root INFO Episode: 120, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:14,382 root INFO Episode: 125, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:18,467 root INFO Episode: 130, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:23,943 root INFO Episode: 135, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:29,452 root INFO Episode: 140, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:34,944 root INFO Episode: 145, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:40,725 root INFO Episode: 150, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:45,622 root INFO Episode: 155, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:52,478 root INFO Episode: 160, Max reward:0, Avg Reward:0.0
05-08-2020-19:59:57,327 root INFO Episode: 165, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:02,997 root INFO Episode: 170, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:08,119 root INFO Episode: 175, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:12,66 root INFO Episode: 180, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:17,556 root INFO Episode: 185, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:23,55 root INFO Episode: 190, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:29,196 root INFO Episode: 195, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:35,917 root INFO Episode: 200, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:42,423 root INFO Episode: 205, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:46,481 root INFO Episode: 210, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:54,251 root INFO Episode: 215, Max reward:0, Avg Reward:0.0
05-08-2020-20:00:59,618 root INFO Episode: 220, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:04,109 root INFO Episode: 225, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:10,90 root INFO Episode: 230, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:14,899 root INFO Episode: 235, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:21,608 root INFO Episode: 240, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:26,835 root INFO Episode: 245, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:30,722 root INFO Episode: 250, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:36,808 root INFO Episode: 255, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:42,336 root INFO Episode: 260, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:50,156 root INFO Episode: 265, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:54,282 root INFO Episode: 270, Max reward:0, Avg Reward:0.0
05-08-2020-20:01:58,144 root INFO Episode: 275, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:01,608 root INFO Episode: 280, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:05,681 root INFO Episode: 285, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:11,353 root INFO Episode: 290, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:17,469 root INFO Episode: 295, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:21,826 root INFO Episode: 300, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:27,436 root INFO Episode: 305, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:31,170 root INFO Episode: 310, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:36,112 root INFO Episode: 315, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:42,816 root INFO Episode: 320, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:48,583 root INFO Episode: 325, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:52,24 root INFO Episode: 330, Max reward:0, Avg Reward:0.0
05-08-2020-20:02:57,57 root INFO Episode: 335, Max reward:0, Avg Reward:0.0
05-08-2020-20:03:03,540 root INFO Episode: 340, Max reward:0, Avg Reward:0.0
05-08-2020-20:03:10,920 root INFO Episode: 345, Max reward:0, Avg Reward:0.0
05-08-2020-20:03:18,917 root INFO Episode: 350, Max reward:0, Avg Reward:0.0
05-08-2020-20:03:23,468 root INFO Episode: 355, Max reward:0, Avg Reward:0.0
05-08-2020-20:03:31,439 root INFO Episode: 360, Max reward:0, Avg Reward:0.0
