06-08-2020-06:53:17,27 root INFO Episode: 0, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:24,671 root INFO Episode: 5, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:29,821 root INFO Episode: 10, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:37,43 root INFO Episode: 15, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:43,658 root INFO Episode: 20, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:48,369 root INFO Episode: 25, Max reward:0, Avg Reward:0.0
06-08-2020-06:53:55,133 root INFO Episode: 30, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:00,798 root INFO Episode: 35, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:06,238 root INFO Episode: 40, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:10,756 root INFO Episode: 45, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:16,987 root INFO Episode: 50, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:23,196 root INFO Episode: 55, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:28,994 root INFO Episode: 60, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:33,943 root INFO Episode: 65, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:40,667 root INFO Episode: 70, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:46,436 root INFO Episode: 75, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:51,768 root INFO Episode: 80, Max reward:0, Avg Reward:0.0
06-08-2020-06:54:59,347 root INFO Episode: 85, Max reward:0, Avg Reward:0.0
06-08-2020-06:55:04,395 root INFO Episode: 90, Max reward:0, Avg Reward:0.0
06-08-2020-06:55:11,60 root INFO Episode: 95, Max reward:0, Avg Reward:0.0
06-08-2020-06:55:15,511 root INFO Episode: 100, Max reward:0, Avg Reward:0.0
06-08-2020-06:55:23,170 root INFO Episode: 105, Max reward:0, Avg Reward:0.0
06-08-2020-06:55:27,789 root INFO Episode: 110, Max reward:0, Avg Reward:0.0
