06-08-2020-06:05:33,474 root INFO Episode: 0, Max reward:0, Avg Reward:0.0
06-08-2020-06:05:44,782 root INFO Episode: 5, Max reward:0, Avg Reward:0.0
06-08-2020-06:05:51,504 root INFO Episode: 10, Max reward:0, Avg Reward:0.0
06-08-2020-06:05:57,422 root INFO Episode: 15, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:04,46 root INFO Episode: 20, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:11,283 root INFO Episode: 25, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:17,526 root INFO Episode: 30, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:22,609 root INFO Episode: 35, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:28,169 root INFO Episode: 40, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:33,184 root INFO Episode: 45, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:38,586 root INFO Episode: 50, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:43,30 root INFO Episode: 55, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:49,394 root INFO Episode: 60, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:53,433 root INFO Episode: 65, Max reward:0, Avg Reward:0.0
06-08-2020-06:06:58,359 root INFO Episode: 70, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:02,944 root INFO Episode: 75, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:07,959 root INFO Episode: 80, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:12,312 root INFO Episode: 85, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:18,384 root INFO Episode: 90, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:23,673 root INFO Episode: 95, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:28,449 root INFO Episode: 100, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:33,933 root INFO Episode: 105, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:40,113 root INFO Episode: 110, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:46,377 root INFO Episode: 115, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:51,728 root INFO Episode: 120, Max reward:0, Avg Reward:0.0
06-08-2020-06:07:55,928 root INFO Episode: 125, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:01,730 root INFO Episode: 130, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:06,215 root INFO Episode: 135, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:11,426 root INFO Episode: 140, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:17,578 root INFO Episode: 145, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:22,707 root INFO Episode: 150, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:27,502 root INFO Episode: 155, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:32,558 root INFO Episode: 160, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:39,748 root INFO Episode: 165, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:49,385 root INFO Episode: 170, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:54,234 root INFO Episode: 175, Max reward:0, Avg Reward:0.0
06-08-2020-06:08:57,186 root INFO Episode: 180, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:01,970 root INFO Episode: 185, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:05,421 root INFO Episode: 190, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:11,115 root INFO Episode: 195, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:14,969 root INFO Episode: 200, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:19,901 root INFO Episode: 205, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:24,541 root INFO Episode: 210, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:28,726 root INFO Episode: 215, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:33,139 root INFO Episode: 220, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:37,668 root INFO Episode: 225, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:42,182 root INFO Episode: 230, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:45,386 root INFO Episode: 235, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:51,93 root INFO Episode: 240, Max reward:0, Avg Reward:0.0
06-08-2020-06:09:55,609 root INFO Episode: 245, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:01,529 root INFO Episode: 250, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:05,703 root INFO Episode: 255, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:11,146 root INFO Episode: 260, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:15,127 root INFO Episode: 265, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:20,606 root INFO Episode: 270, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:26,803 root INFO Episode: 275, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:31,748 root INFO Episode: 280, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:38,804 root INFO Episode: 285, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:44,258 root INFO Episode: 290, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:50,232 root INFO Episode: 295, Max reward:0, Avg Reward:0.0
06-08-2020-06:10:56,216 root INFO Episode: 300, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:02,131 root INFO Episode: 305, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:07,77 root INFO Episode: 310, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:12,395 root INFO Episode: 315, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:15,805 root INFO Episode: 320, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:20,144 root INFO Episode: 325, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:27,648 root INFO Episode: 330, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:33,611 root INFO Episode: 335, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:36,980 root INFO Episode: 340, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:40,117 root INFO Episode: 345, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:43,873 root INFO Episode: 350, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:49,251 root INFO Episode: 355, Max reward:0, Avg Reward:0.0
06-08-2020-06:11:54,799 root INFO Episode: 360, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:00,970 root INFO Episode: 365, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:06,781 root INFO Episode: 370, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:13,446 root INFO Episode: 375, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:21,662 root INFO Episode: 380, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:26,656 root INFO Episode: 385, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:32,222 root INFO Episode: 390, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:36,195 root INFO Episode: 395, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:40,707 root INFO Episode: 400, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:44,303 root INFO Episode: 405, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:48,30 root INFO Episode: 410, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:52,288 root INFO Episode: 415, Max reward:0, Avg Reward:0.0
06-08-2020-06:12:56,860 root INFO Episode: 420, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:00,312 root INFO Episode: 425, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:07,60 root INFO Episode: 430, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:11,429 root INFO Episode: 435, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:15,1 root INFO Episode: 440, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:19,779 root INFO Episode: 445, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:24,615 root INFO Episode: 450, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:30,418 root INFO Episode: 455, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:38,927 root INFO Episode: 460, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:43,431 root INFO Episode: 465, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:47,183 root INFO Episode: 470, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:51,131 root INFO Episode: 475, Max reward:0, Avg Reward:0.0
06-08-2020-06:13:54,210 root INFO Episode: 480, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:01,690 root INFO Episode: 485, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:05,999 root INFO Episode: 490, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:09,621 root INFO Episode: 495, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:13,11 root INFO Episode: 500, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:17,806 root INFO Episode: 505, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:21,415 root INFO Episode: 510, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:25,389 root INFO Episode: 515, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:27,359 root INFO Episode: 520, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:30,968 root INFO Episode: 525, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:33,747 root INFO Episode: 530, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:37,243 root INFO Episode: 535, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:42,317 root INFO Episode: 540, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:47,318 root INFO Episode: 545, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:49,627 root INFO Episode: 550, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:52,961 root INFO Episode: 555, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:56,697 root INFO Episode: 560, Max reward:0, Avg Reward:0.0
06-08-2020-06:14:59,737 root INFO Episode: 565, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:02,282 root INFO Episode: 570, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:05,565 root INFO Episode: 575, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:09,835 root INFO Episode: 580, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:13,933 root INFO Episode: 585, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:16,871 root INFO Episode: 590, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:19,501 root INFO Episode: 595, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:22,219 root INFO Episode: 600, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:25,708 root INFO Episode: 605, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:27,835 root INFO Episode: 610, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:30,747 root INFO Episode: 615, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:33,59 root INFO Episode: 620, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:34,846 root INFO Episode: 625, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:37,232 root INFO Episode: 630, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:39,305 root INFO Episode: 635, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:41,546 root INFO Episode: 640, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:44,559 root INFO Episode: 645, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:47,607 root INFO Episode: 650, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:49,502 root INFO Episode: 655, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:52,511 root INFO Episode: 660, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:54,981 root INFO Episode: 665, Max reward:0, Avg Reward:0.0
06-08-2020-06:15:57,455 root INFO Episode: 670, Max reward:0, Avg Reward:0.0
06-08-2020-06:16:00,781 root INFO Episode: 675, Max reward:0, Avg Reward:0.0
06-08-2020-06:16:03,630 root INFO Episode: 680, Max reward:0, Avg Reward:0.0
