05-08-2020-14:11:45,37 root INFO Episode: 0, Max reward:0, Avg Reward:0.0
05-08-2020-14:11:53,219 root INFO Episode: 5, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:00,358 root INFO Episode: 10, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:06,714 root INFO Episode: 15, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:14,611 root INFO Episode: 20, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:20,791 root INFO Episode: 25, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:27,946 root INFO Episode: 30, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:33,633 root INFO Episode: 35, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:40,128 root INFO Episode: 40, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:46,498 root INFO Episode: 45, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:51,815 root INFO Episode: 50, Max reward:0, Avg Reward:0.0
05-08-2020-14:12:58,621 root INFO Episode: 55, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:06,381 root INFO Episode: 60, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:13,984 root INFO Episode: 65, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:20,383 root INFO Episode: 70, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:26,930 root INFO Episode: 75, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:33,252 root INFO Episode: 80, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:39,547 root INFO Episode: 85, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:45,670 root INFO Episode: 90, Max reward:0, Avg Reward:0.0
05-08-2020-14:13:52,106 root INFO Episode: 95, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:03,609 root INFO Episode: 100, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:11,572 root INFO Episode: 105, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:17,950 root INFO Episode: 110, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:26,319 root INFO Episode: 115, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:36,596 root INFO Episode: 120, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:46,916 root INFO Episode: 125, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:53,226 root INFO Episode: 130, Max reward:0, Avg Reward:0.0
05-08-2020-14:14:59,317 root INFO Episode: 135, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:05,192 root INFO Episode: 140, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:15,839 root INFO Episode: 145, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:20,217 root INFO Episode: 150, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:28,480 root INFO Episode: 155, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:36,1 root INFO Episode: 160, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:43,789 root INFO Episode: 165, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:51,380 root INFO Episode: 170, Max reward:0, Avg Reward:0.0
05-08-2020-14:15:59,74 root INFO Episode: 175, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:05,243 root INFO Episode: 180, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:09,953 root INFO Episode: 185, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:19,712 root INFO Episode: 190, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:26,294 root INFO Episode: 195, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:35,96 root INFO Episode: 200, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:43,187 root INFO Episode: 205, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:48,148 root INFO Episode: 210, Max reward:0, Avg Reward:0.0
05-08-2020-14:16:58,596 root INFO Episode: 215, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:08,548 root INFO Episode: 220, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:15,882 root INFO Episode: 225, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:24,113 root INFO Episode: 230, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:32,515 root INFO Episode: 235, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:43,284 root INFO Episode: 240, Max reward:0, Avg Reward:0.0
05-08-2020-14:17:51,905 root INFO Episode: 245, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:01,577 root INFO Episode: 250, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:09,175 root INFO Episode: 255, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:20,700 root INFO Episode: 260, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:27,805 root INFO Episode: 265, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:38,287 root INFO Episode: 270, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:51,824 root INFO Episode: 275, Max reward:0, Avg Reward:0.0
05-08-2020-14:18:59,421 root INFO Episode: 280, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:08,78 root INFO Episode: 285, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:13,665 root INFO Episode: 290, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:19,340 root INFO Episode: 295, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:28,901 root INFO Episode: 300, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:37,70 root INFO Episode: 305, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:43,367 root INFO Episode: 310, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:52,360 root INFO Episode: 315, Max reward:0, Avg Reward:0.0
05-08-2020-14:19:58,366 root INFO Episode: 320, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:05,463 root INFO Episode: 325, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:10,717 root INFO Episode: 330, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:15,359 root INFO Episode: 335, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:20,778 root INFO Episode: 340, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:26,84 root INFO Episode: 345, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:32,530 root INFO Episode: 350, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:38,218 root INFO Episode: 355, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:40,777 root INFO Episode: 360, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:45,769 root INFO Episode: 365, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:53,61 root INFO Episode: 370, Max reward:0, Avg Reward:0.0
05-08-2020-14:20:57,593 root INFO Episode: 375, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:02,307 root INFO Episode: 380, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:06,18 root INFO Episode: 385, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:09,831 root INFO Episode: 390, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:13,999 root INFO Episode: 395, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:17,470 root INFO Episode: 400, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:20,476 root INFO Episode: 405, Max reward:0, Avg Reward:0.0
05-08-2020-14:21:25,700 root INFO Episode: 410, Max reward:0, Avg Reward:0.0
